isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9.78E+12,6483909,Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,Fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Jimmy the Hand boy thief of Krondor lived in the shadows of the city. Though gifted beyond his peers Jimmy is merely a pickpocket with potential--until he aids Prince Arutha in the rescue of Princess Anita from Duke Guy du Bas-Tyra and runs afoul ofBlack Guy's"" secret police. Facing a choice between disappearing on his own or in a weighted barrel at the bottom of Krondor's harbor Jimmy chooses the former. Forced to flee the only home he's ever known Jimmy finds himself among the unsuspecting rural villagers of Land's End where he hopes to prosper with his talents for con and thievery. But Land's End is home to many who tread the crooked path--and to a dark dangerous presence even the local smugglers don't recognize. And suddenly Jimmy's youthful bravado and courage are leading him into the maw of chaos . . . and quite possibly to his doom.""",2003,3.95,368,5579
9.78E+12,6486142,Well of Darkness,,Margaret Weis;Tracy Hickman,,http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Gareth is just a frightened young lad when he is drafted in to be the whipping-boy for the unruly Prince Dagnarus. Yet as they grow to be men an unshakable bond is formed. And it is their destiny for them to become the two most powerful - and feared - men in the kingdom. But when Dagnarus decides to become a knight himself he begins a chain of evil events that threaten to destroy the entire kingdom. Only by uniting the Sovereign Stone can peace be restored and it is up to Dagnarus' brother Helmos to try to achieve this impossible task using his father's soldiers against his brother's army. All the while Gareth is gaining mastery over the sinister Void magic and he is devoted to helping his childhood companion.. This gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters as we follow them from boys to men. Filled with action suspense and wonderfully imaginative characters Water From the Well of Darkness is set to elevate the careers of bestselling authors Weis & Hickman to spectacular new heights.,2001,3.66,599,68
9.78E+12,000649045,Witness for the Prosecution & Selected Plays,,Agatha Christie,English drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Newly-Jacketed Edition Designed To Celebrate The 50Th Anniversary Of Christie S Faultlessly Plotted Witness For The Prosecution And Other Outstanding Plays. The Perfect Complement To The Latest Edition Of The Mousetrap And Selected Plays (50Th Aniversary Edition). Headlining This Book Is Witness For The Prosecution Christie S Highly Successful Stage Play Which Won The New York Drama Critics Circle Award For Best Foreign Play. A Stunning Courtroom Drama It Tells The Story Of A Scheming Wife Testifying Against Her Husband In A Shocking Murder Trial. The Wild Beauty Of A Seaside House Perched High On The Devonshire River Tern Provides A Stunning Back-Drop In Towards Zero As A Psychopathic Murderer Homes In On The Unsuspecting Victims. Passion Murder And Love Are The Deadly Ingredients In Verdict Making It One Of Christie S More Unusual Thrillers And Prompting Her To Label It The Best Play I Have Written With The Exception Of Witness For The Prosecution . Go Back For Murder Tells The Story Of The Young And Feisty Carla Who Orphaned At The Tender Age Of Five Discovers Her Mother Was Imprisioned For Murdering Her Father And Determines To Prove Her Innocence.",1995,4.05,352,3908
9.78E+12,6496431,The Little House,,Philippa Gregory,Country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It was easy for Elizabeth. She married the man she loved. It was harder for Ruth. She married Elizabeth's son and then found that somehow she could never quite measure up. This thriller examines what women want and what they fear as Ruth confronts the shifting borders of her own sanity.,1998,3.66,368,1832
9.78E+12,6496873,Mystical Paths,,Susan Howatch,English fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1968 finds Nicholas Darrow wrestling with personal problems. How can he marry Rosalind when he is unable to avoid promiscuity? How can he become a priest when he finds it so difficult to live as one? And can he break his dangerous dependence on his father?,1996,4.23,576,1023
9.78E+12,000649689,Glittering Images,,Susan Howatch,English fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,It is 1937 and Charles Ashworth a Canon to the Archbishop of Canterbury is sent to untangle a web of self-delusion and corruption at the episcopal palace of the charismatic Bishop of Starbridge.",1996,4.07,512,2045
9.78E+12,000649692,Glamorous Powers,,Susan Howatch,Clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Reissue of the author's most famous and well-loved work the Starbridge series six self-contained yet interconnected novels that explore the history of the Church of England through the 20th century.,1996,4.2,512,1441
9.78E+12,6498868,The Mad Ship,,Robin Hobb,Fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fantasy master Robin Hobb delivers the stunning second volume of her Liveship Traders trilogy returning to the timeless city of Bingtown where pirates now plague the coasts and the dreaded slave trade flourishes. Althea Vestrit doesnt have time to be afraid for her familys newly awakened Liveship Vivacia has been seized by the ruthless pirate Kennit. So Althea hatches a bold plan. But to carry it out she must recruit a Liveship that has already slain two crews -- and is said to be insane.",2000,4.24,906,36101
9.78E+12,6499163,Post Captain,,Patrick O'Brian,Aubrey Jack (Fictitious character),http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This tale begins with Jack Aubrey arriving home from his exploits in the Mediterranean to find England at peace following the Treaty of Amiens. He and his friend Stephen Maturin surgeon and secret agent begin to live the lives of country gentlemen hunting entertaining and enjoying more amorous adventures. Their comfortable existence however is cut short when Jack is overnight reduced to a pauper with enough debts to keep him in prison for life. He flees to the continent to seek refuge: instead he finds himself a hunted fugitive as Napoleon has ordered the internment of all Englishmen in France. Aubrey's adventures in escaping from France and the debtors' prison will grip the reader as fast as his unequalled actions at sea.,1996,4.29,474,7815
9.78E+12,6499260,The Reverse of the Medal,,Patrick O'Brian,Adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,In this book Jack Aubrey returns from his duties protecting whalers off the South American coast and is persuaded by a casual acquaintance to make investments in the City on the strength of supposedly certain information. From there he is led into the half-worlds of the London criminal underground and of government espionage - the province of his friend Stephen Maturin.",1997,4.41,261,177
9.78E+12,6499627,Miss Marple,The Complete Short Stories,Agatha Christie,Detective and mystery stories English,http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Miss Marple featured in 20 short stories published in a number of different collections in Britain and America. Presented here in their order of publication Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.,1997,4.2,359,6235
9.78E+12,6511481,The Years of Rice and Salt,,Kim Stanley Robinson,Black Death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Hailed by""The New York Times Book Review"" as""eye-opening"" this alternative history of the last 600 years begins as the Black Death kills nearly everyone in Europe and China India and the nations of Islam now control the world.""",2003,3.73,772,194
9.78E+12,6512674,Spares,,Michael Marshall Smith,Human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Spares - human clones the ultimate health insurance. An eye for an eye - but some people are doing all the taking. The story of Jack Randall: burnt-out dropped out and way overdrawn at the luck bank. But as caretaker on a Spares Farm he still has a choice and it might make a difference.,1998,4.13,317,2481
9.78E+12,6513085,Gravity,,Tess Gerritsen,Science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Emma Watson a research physician has been training for the mission of a lifetime: to study living organisms in the microgravity of space. But the true and lethal nature of the experiment has not been revealed to NASA and once aboard the space station things start to go wrong. A culture of single-celled Archaeons gathered from the deep sea begin to rapidly multiply and infect the crew - with deadly and agonising results. As her estranged husband and ground crew at NASA work against the clock to launch a rescue Emma stuggles to contain the lethal microbe. But with the contagion threatening Earth's population there are those who would leave the astronauts stranded in orbit quarantined aboard the station.",2004,4.04,342,8024
9.78E+12,6514642,The Wise Woman,,Philippa Gregory,Great Britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Alone and vulnerable Alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when Henry VIII's wreckers destroy her sanctuary. With nothing but her looks her magic and her own instinctive cunning Alys has to tread a perilous path between the faith of her childhood and her own female power. When she falls in love with Hugo the feudal lord and another woman's husband she dips into witchcraft to defeat her rival and to win her lover only to find that magic makes a poor servant but a dominant master. Since heresy against the new church means the stake and witchcraft the rope Alys's danger is mortal. A woman's powers are not longer safe to use...,2002,3.31,640,6583
9.78E+12,6514855,Girls' Night in,,Jessica Adams;Chris Manby;Fiona Walker,American fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Girls' Night In' features stories about growing up growing out of moving out moving on falling apart and getting it all together. So turn off your cell phone and curl up on the couch: this is one 'Girls' Night In' you won't want to miss.",2000,3.26,586,140
9.78E+12,6545866,The White Album,,Joan Didion,American essays,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This collection of essays recounts what took place on the long morning after the 1960s when everyone was coming down from their particular bad trip. Didion observes the dramas that explode as America goes into collective detox: the mother abandoning her five-year-old daughter on the central reservation of Interstate 5; Huey Newton and the Black Panthers preaching from their cells; students in unconscious parody simulating the disaffection of the 1960s.,1993,4.17,224,91
9.78E+12,6550436,The Bonesetter's Daughter,,Amy Tan,China,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Tells the story of three generations of Chinese women beginning at the turn of the century.",2001,3.98,352,414
9.78E+12,6551394,The Lexus and the Olive Tree,,Thomas L. Friedman,Capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Half of this new post-Cold War world is intent on building a better Lexus on streamlining their societies and economies for the global marketplace while the other half is locked in elemental struggles over who owns which olive tree which strip of land.,2000,3.59,352,87
9.78E+12,6551815,'Tis,A Memoir,Frank McCourt,Ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,FROM THE PULIZER PRIZE-WINNING AUTHOR OF THE #1""NEW YORK TIMES"" BESTSELLER""ANGELA'S ASHES"" Frank McCourt's glorious childhood memoir""Angela's Ashes"" has been loved and celebrated by readers everywhere. It won the National Book Critics Circle Award the""Los Angeles Times"" Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape. And now we have""'Tis"" the story of Frank's American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen and gets a job at the Biltmore Hotel where he immediately encounters the vivid hierarchies of this""classless country "" and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank's incomparable voice that renders these experiences spellbinding. When Frank returns to America in 1953 he works on the docks always resisting what everyone tells him. He knows that he should be getting an education and though he left school at fourteen he talks his way into New York University. There he falls in love with the quintessential Yankee and tries to live his dream. But it is not until he starts to teach that Frank finds his place in the world.""",2000,3.68,495,44179
9.78E+12,000664600,Ocean Star Express,,Mark Haddon;Peter Sutton,Juvenile Fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Joe and his parents are enjoying a summer holiday by the sea at the Ocean Star Hotel. The sky is bright blue the sun shines and Joe loves all that the seaside has to offer. But when the fog rolls in and rain falls Joe begins to wish that he was back at home again. Things change however when the owner of the hotel invites Joe to share in a magical world only a few steps away. The loft is black as night but then above Joe's head a thousand tiny stars begin to sparkle and in the distance he hears the chug-chug-chug of a model train. A whole world is soon to open up before Joe's eyes a world of snow-capped mountains great deserts and rocking fishing boats.,2002,3.5,32,1
9.78E+12,6754899,A Small Pinch of Weather,And Other Stories,Joan Aiken,Children's stories English,http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds.",2000,4.27,239,116
9.78E+12,000690601,The Princess of the Chalet School,,Elinor Mary Brent-Dyer,Juvenile Fiction,http://books.google.com/books/content?id=EJcQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api, ,2000,4.1,159,446
9.78E+12,7103670,Koko,,Peter Straub,Male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Koko is Peter Straub's foray into the psychological horror of the Vietnam War.,2001,3.56,634,7586
9.78E+12,7105045,Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,The two works 'On fairy-stories' and 'Leaf by Niggle' were first brought together to form the book 'Tree and leaf' in 1964. In this new edition a third element is added: the poem Mythopoeia the making of myths...""--Preface.""",2001,4.09,176,2245
9.78E+12,7111509,Partners in Crime,,Agatha Christie,Beresford Tommy (Fictitious character),http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Famous Volume Of Tommy & Tuppence Linked Short Stories Reissued In A New Look To Coincide With The Brand New Series Of Tommy & Tuppence Bbc Movies. Tommy And Tuppence Beresford Were Restless For Adventure So When They Were Asked To Take Over Blunt S International Detective Agency They Leapt At The Chance. After Their Triumphant Recovery Of A Pink Pearl Intriguing Cases Kept On Coming Their Way: A Stabbing On Sunningdale Golf Course; Cryptic Messages In The Personal Columns Of Newspapers; And Even A Box Of Poisoned Chocolates.,2001,3.77,347,9506
9.78E+12,7113803,Murder in Mesopotamia,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,An archaeologist's wife is murdered on the shores of the River Tigris in Iraq... It was clear to Amy Leatheran that something sinister was going on at the Hassanieh dig in Iraq; something associated with the presence of 'Lovely Louise' wife of celebrated archaeologist Dr Leidner. In a few days' time Hercule Poirot was due to drop in at the excavation site. But with Louise suffering from terrifying hallucinations and tension within the group becoming almost unbearable Poirot might just be too late...",2001,3.89,264,25692
9.78E+12,7116268,The Lord of the Rings the Return of the King,Visual Companion,Jude Fisher,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A visual guide to the third in the Lord of the Rings movie trilogy. A large-format full-colour guide to the characters places landscapes artefacts battles and costumes as seen in the film it features images informative text and specially commissioned extras.,2003,4.59,72,22
9.78E+12,7117531,All Families are Psychotic,,Douglas Coupland,Dysfunctional families,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,On the eve of the next Space Shuttle mission a divided family comes together... Warm witty and wise All Families Are Psychotic is Coupland at the very top of his form: 'Irresistibly hilarious unique and wonderful' Independent on Sunday In a cheap motel an hour from Cape Canaveral Janet Drummond takes her medication and does a rapid tally of the whereabouts of her children. Wade has spent the night in jail; suicidal Bryan is due to arrive at any moment with his vowel-free girlfriend Shw; and then there is Sarah 'a bolt of lightning frozen in midflash' -- here in Orlando to be the star of Friday's shuttle mission. With Janet's ex-husband and his trophy wife also in town Janet spends a moment contemplating her family and where it all went wrong. Or did it?",2002,3.69,279,350
9.78E+12,000711933,Death in the Clouds,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A woman is killed by a poisoned dart in the enclosed confines of a commercial passenger plane... From seat No.9 Hercule Poirot was ideally placed to observe his fellow air passengers. Over to his right sat a pretty young woman clearly infatuated with the man opposite; ahead in seat No.13 sat a Countess with a poorly-concealed cocaine habit; across the gangway in seat No.8 a detective writer was being troubled by an aggressive wasp. What Poirot did not yet realize was that behind him in seat No.2 sat the slumped lifeless body of a woman.,2001,3.8,333,21123
9.78E+12,7119356,Appointment with Death,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A repugnant Amercian widow is killed during a trip to Petra... Among the towering red cliffs of Petra like some monstrous swollen Buddha sat the corpse of Mrs Boynton. A tiny puncture mark on her wrist was the only sign of the fatal injection that had killed her. With only 24 hours available to solve the mystery Hercule Poirot recalled a chance remark he'd overheard back in Jerusalem: 'You see don't you that she's got to be killed?' Mrs Boynton was indeed the most detestable woman he'd ever met...",2001,3.86,303,24859
9.78E+12,7120680,Hallowe'en Party,,Agatha Christie,Poirot Hercule (Fictitious character),http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"No one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned and Hercule Poirot sets out to catch the killer.,2001,3.66,336,18820
9.78E+12,7120699,Hercule Poirot's Christmas,,Agatha Christie,Christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,On the night before Christmas cruel tyrannical filthy-rich Simeon Lee is found in his locked bedroom with his throat cut. Now Hercule Poirot must put his deductive powers to the test to solve one of his most chilling cases--and to prevent a clever killer from spilling more blood.",2001,3.93,335,23113
9.78E+12,7120818,The Big Four,,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A ruthless international cartel seeks world domination... Framed in the doorway of Poirot's bedroom stood an uninvited guest coated from head to foot in dust. The man's gaunt face stared for a moment then he swayed and fell. Who was he? Was he suffering from shock or just exhaustion? Above all what was the significance of the figure 4 scribbled over and over again on a sheet of paper? Poirot finds himself plunged into a world of international intrigue risking his life to uncover the truth about 'Number Four'.,2002,3.59,272,22155
9.78E+12,7120869,The Thirteen Problems,,Agatha Christie,Detective and mystery stories English,http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Tuesday Night Club is a venue where locals challenge Miss Marple to solve recent crimes... One Tuesday evening a group gathers at Miss Marple's house and the conversation turns to unsolved crimes... The case of the disappearing bloodstains; the thief who committed his crime twice over; the message on the death-bed of a poisoned man which read 'heap of fish'; the strange case of the invisible will; a spiritualist who warned that 'Blue Geranium' meant death... Now pit your wits against the powers of deduction of the 'Tuesday Night Club'.",2002,3.89,315,12840
9.78E+12,7120877,They Do it with Mirrors,,Agatha Christie,American fiction,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A man is shot at in a juvenile reform home - but someone else dies... Miss Marple senses danger when she visits a friend living in a Victorian mansion which doubles as a rehabilitiation centre for delinquents. Her fears are confirmed when a youth fires a revolver at the administrator Lewis Serrocold. Neither is injured. But a mysterious visitor Mr Gilbrandsen is less fortunate - shot dead simultaneously in another part of the building. Pure coincidence? Miss Marple thinks not and vows to discover the real reason for Mr Gilbrandsen's visit.,2002,3.75,284,415
9.78E+12,7120966,A Murder is Announced,,Agatha Christie,Detective and mystery stories English,http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The villagers of Chipping Cleghorn are amazed by an advertisement in the local paper which reads""A murder is announced and will take place on Friday October 29th at Little Paddocks at 6.30pm. Unable to resist a crowd begins to gather at the house at the appointed time. But when a man is killed in what looks like an attempted robbery Miss Marple becomes involved.""",2002,3.98,382,680
